============================= test session starts ==============================
platform darwin -- Python 3.9.6, pytest-8.4.2, pluggy-1.6.0 -- /Library/Developer/CommandLineTools/usr/bin/python3
cachedir: .pytest_cache
rootdir: /Users/kc/slice-of-pi
configfile: pyproject.toml
plugins: anyio-4.12.1, asyncio-1.2.0, cov-7.0.0
E   AssertionError: assert (None)
E    +  where None = <built-in method get of dict object at 0x10ccfa840>('version')
E    +    where <built-in method get of dict object at 0x10ccfa840> = {'_error': '<urlopen error [Errno 61] Connection refused>'}.get
___________________________ TestSystem.test_settings ___________________________
tests/test_e2e_api.py:50: in test_settings
    assert "_error" not in r
E   AssertionError: assert '_error' not in {'_error': '<urlopen error [Errno 61] Connection refused>'}
____________________________ TestAgents.test_create ____________________________
tests/test_e2e_api.py:58: in test_create
    assert "id" in r and r.get("status") == "idle"
E   AssertionError: assert ('id' in {'_error': '<urlopen error [Errno 61] Connection refused>'})
_____________________________ TestAgents.test_list _____________________________
tests/test_e2e_api.py:63: in test_list
    assert isinstance(r, list) and len(r) > 0
E   AssertionError: assert (False)
E    +  where False = isinstance({'_error': '<urlopen error [Errno 61] Connection refused>'}, list)
_____________________________ TestAgents.test_get ______________________________
tests/test_e2e_api.py:67: in test_get
    assert r.get("name") == "e2e-test-agent"
E   AssertionError: assert None == 'e2e-test-agent'
E    +  where None = <built-in method get of dict object at 0x10ccf3300>('name')
E    +    where <built-in method get of dict object at 0x10ccf3300> = {'_error': '<urlopen error [Errno 61] Connection refused>'}.get
____________________________ TestAgents.test_update ____________________________
tests/test_e2e_api.py:71: in test_update
    assert "_error" not in r
E   AssertionError: assert '_error' not in {'_error': '<urlopen error [Errno 61] Connection refused>'}
____________________________ TestAgents.test_delete ____________________________
tests/test_e2e_api.py:75: in test_delete
    assert r.get("status") == "deleted"
E   AssertionError: assert None == 'deleted'
E    +  where None = <built-in method get of dict object at 0x10cd05980>('status')
E    +    where <built-in method get of dict object at 0x10cd05980> = {'_error': '<urlopen error [Errno 61] Connection refused>'}.get
_______________________ TestSessions.test_list_sessions ________________________
tests/test_e2e_api.py:138: in test_list_sessions
    assert isinstance(r, list)
E   AssertionError: assert False
E    +  where False = isinstance({'_error': '<urlopen error [Errno 61] Connection refused>'}, list)
=========================== short test summary info ============================
FAILED tests/test_e2e_api.py::TestSystem::test_health - AssertionError: asser...
FAILED tests/test_e2e_api.py::TestSystem::test_pi_version - AssertionError: a...
FAILED tests/test_e2e_api.py::TestSystem::test_settings - AssertionError: ass...
FAILED tests/test_e2e_api.py::TestAgents::test_create - AssertionError: asser...
FAILED tests/test_e2e_api.py::TestAgents::test_list - AssertionError: assert ...
FAILED tests/test_e2e_api.py::TestAgents::test_get - AssertionError: assert N...
FAILED tests/test_e2e_api.py::TestAgents::test_update - AssertionError: asser...
FAILED tests/test_e2e_api.py::TestAgents::test_delete - AssertionError: asser...
FAILED tests/test_e2e_api.py::TestSessions::test_list_sessions - AssertionErr...
=================== 9 failed, 297 passed, 3 skipped in 2.76s ===================
